MODULE_NAME: /bin/dash
MODULE_START: 0x7f5bb08d5000
+B+: 0x7f5bb08dd145 0x7f5bb08dd14d
+B+: 0x7f5bb08dd14e 0x7f5bb08dd157
+B+: 0x7f5bb08dd160 0x7f5bb08dd166
+B+: 0x7f5bb08dd1c0 0x7f5bb08dd1d1
+B+: 0x7f5bb08dd1e8 0x7f5bb08dd1ef
+B+: 0x7f5bb08dd248 0x7f5bb08dd25b
+B+: 0x7f5bb08dd25c 0x7f5bb08dd271
+B+: 0x7f5bb08dd7d0 0x7f5bb08dd7ff
+B+: 0x7f5bb08dd80f 0x7f5bb08dd812
+B+: 0x7f5bb08dd813 0x7f5bb08dd81c
+B+: 0x7f5bb08dd81d 0x7f5bb08dd820
+B+: 0x7f5bb08dd821 0x7f5bb08dd82f
+B+: 0x7f5bb08dd830 0x7f5bb08dd83a
+B+: 0x7f5bb08dd84f 0x7f5bb08dd85a
+B+: 0x7f5bb08dd85f 0x7f5bb08dd862
+B+: 0x7f5bb08dd870 0x7f5bb08dd877
+B+: 0x7f5bb08dd878 0x7f5bb08dd88d
+B+: 0x7f5bb08de440 0x7f5bb08de464
+B+: 0x7f5bb08de61e 0x7f5bb08de627
+B+: 0x7f5bb08de628 0x7f5bb08de631
+B+: 0x7f5bb08de632 0x7f5bb08de659
+B+: 0x7f5bb08de6af 0x7f5bb08de6bc
+B+: 0x7f5bb08de6c0 0x7f5bb08de6cb
+B+: 0x7f5bb08de730 0x7f5bb08de73b
+B+: 0x7f5bb08de740 0x7f5bb08de75e
+B+: 0x7f5bb08de75f 0x7f5bb08de767
+B+: 0x7f5bb08de7d2 0x7f5bb08de7e3
+B+: 0x7f5bb08de8a0 0x7f5bb08de8a7
+B+: 0x7f5bb08df260 0x7f5bb08df2a5
+B+: 0x7f5bb08df2b5 0x7f5bb08df2be
+B+: 0x7f5bb08df2bf 0x7f5bb08df2d2
+B+: 0x7f5bb08df2d3 0x7f5bb08df2fc
+B+: 0x7f5bb08df2fd 0x7f5bb08df310
+B+: 0x7f5bb08df324 0x7f5bb08df328
+B+: 0x7f5bb08df336 0x7f5bb08df33f
+B+: 0x7f5bb08df340 0x7f5bb08df344
+B+: 0x7f5bb08df370 0x7f5bb08df386
+B+: 0x7f5bb08df387 0x7f5bb08df398
+B+: 0x7f5bb08df3a0 0x7f5bb08df3b6
+B+: 0x7f5bb08df3b7 0x7f5bb08df3d7
+B+: 0x7f5bb08df3dd 0x7f5bb08df3ec
+B+: 0x7f5bb08df850 0x7f5bb08df886
+B+: 0x7f5bb08df887 0x7f5bb08df89a
+B+: 0x7f5bb08df89b 0x7f5bb08df8ad
+B+: 0x7f5bb08df8ae 0x7f5bb08df8c4
+B+: 0x7f5bb08df8c5 0x7f5bb08df8d7
