MODULE_NAME: /bin/dash
MODULE_START: 0x7f834573d000
+B+: 0x7f834574525c 0x7f8345745271
+B+: 0x7f83457457d0 0x7f83457457ff
+B+: 0x7f834574580f 0x7f8345745812
+B+: 0x7f8345745813 0x7f834574581c
+B+: 0x7f834574581d 0x7f8345745820
+B+: 0x7f8345745821 0x7f834574582f
+B+: 0x7f8345745830 0x7f834574583a
+B+: 0x7f834574584f 0x7f834574585a
+B+: 0x7f834574585f 0x7f8345745862
+B+: 0x7f8345745870 0x7f8345745877
+B+: 0x7f8345745878 0x7f834574588d
+B+: 0x7f8345746440 0x7f8345746464
+B+: 0x7f834574661e 0x7f8345746627
+B+: 0x7f8345746628 0x7f8345746631
+B+: 0x7f8345746632 0x7f8345746659
+B+: 0x7f83457466af 0x7f83457466bc
+B+: 0x7f83457466c0 0x7f83457466cb
+B+: 0x7f8345746730 0x7f834574673b
+B+: 0x7f8345746740 0x7f834574675e
+B+: 0x7f834574675f 0x7f8345746767
+B+: 0x7f83457467d2 0x7f83457467e3
+B+: 0x7f83457468a0 0x7f83457468a7
+B+: 0x7f8345747260 0x7f83457472a5
+B+: 0x7f83457472b5 0x7f83457472be
+B+: 0x7f83457472bf 0x7f83457472d2
+B+: 0x7f83457472d3 0x7f83457472fc
+B+: 0x7f83457472fd 0x7f8345747310
+B+: 0x7f8345747324 0x7f8345747328
+B+: 0x7f8345747336 0x7f834574733f
+B+: 0x7f8345747340 0x7f8345747344
+B+: 0x7f8345747370 0x7f8345747386
+B+: 0x7f8345747387 0x7f8345747398
+B+: 0x7f83457473a0 0x7f83457473b6
+B+: 0x7f83457473b7 0x7f83457473d7
+B+: 0x7f83457473dd 0x7f83457473ec
+B+: 0x7f8345747850 0x7f8345747886
+B+: 0x7f8345747887 0x7f834574789a
+B+: 0x7f834574789b 0x7f83457478ad
+B+: 0x7f83457478ae 0x7f83457478c4
+B+: 0x7f83457478c5 0x7f83457478d7
+B+: 0x7f83457478d8 0x7f83457478e7
+B+: 0x7f83457478e8 0x7f834574790c
+B+: 0x7f834574790d 0x7f8345747915
+B+: 0x7f8345747924 0x7f8345747933
+B+: 0x7f8345747934 0x7f8345747947
+B+: 0x7f8345747948 0x7f8345747954
+B+: 0x7f8345747955 0x7f834574795f
+B+: 0x7f8345747960 0x7f8345747964
+B+: 0x7f8345747a6a 0x7f8345747a7c
+B+: 0x7f8345747a7d 0x7f8345747a9c
+B+: 0x7f8345747ba0 0x7f8345747bad
+B+: 0x7f8345747bae 0x7f8345747be1
+B+: 0x7f8345747bf0 0x7f8345747bfb
+B+: 0x7f8345747db0 0x7f8345747dbd
+B+: 0x7f8345747dbe 0x7f8345747dca
+B+: 0x7f8345747dcb 0x7f8345747de3
+B+: 0x7f8345747de8 0x7f8345747df4
+B+: 0x7f8345747df8 0x7f8345747e04
+B+: 0x7f8345747e05 0x7f8345747e12
+B+: 0x7f8345747e13 0x7f8345747e1d
+B+: 0x7f8345747eb4 0x7f8345747ec1
+B+: 0x7f8345748160 0x7f8345748174
+B+: 0x7f8345748175 0x7f8345748187
+B+: 0x7f8345748188 0x7f83457481a2
+B+: 0x7f83457481a3 0x7f83457481ac
