MODULE_NAME: /bin/dash
MODULE_START: 0x7f3b94f5b000
+B+: 0x7f3b94f66231 0x7f3b94f66232
+B+: 0x7f3b94f66240 0x7f3b94f66248
+B+: 0x7f3b94f66260 0x7f3b94f66260
+B+: 0x7f3b94f66520 0x7f3b94f66534
+B+: 0x7f3b94f66572 0x7f3b94f66578
+B+: 0x7f3b94f66580 0x7f3b94f66583
+B+: 0x7f3b94f66610 0x7f3b94f66656
+B+: 0x7f3b94f6665b 0x7f3b94f66686
+B+: 0x7f3b94f66687 0x7f3b94f6669d
+B+: 0x7f3b94f666fc 0x7f3b94f66708
+B+: 0x7f3b94f66709 0x7f3b94f66711
+B+: 0x7f3b94f66712 0x7f3b94f6672a
+B+: 0x7f3b94f6672b 0x7f3b94f6673c
+B+: 0x7f3b94f66740 0x7f3b94f66747
+B+: 0x7f3b94f66748 0x7f3b94f6675f
+B+: 0x7f3b94f66760 0x7f3b94f66766
+B+: 0x7f3b94f66767 0x7f3b94f66780
+B+: 0x7f3b94f66790 0x7f3b94f66793
+B+: 0x7f3b94f66794 0x7f3b94f66798
+B+: 0x7f3b94f667a2 0x7f3b94f667aa
+B+: 0x7f3b94f667ab 0x7f3b94f667ae
+B+: 0x7f3b94f667af 0x7f3b94f667bd
+B+: 0x7f3b94f667cb 0x7f3b94f667d3
+B+: 0x7f3b94f66825 0x7f3b94f66841
+B+: 0x7f3b94f66842 0x7f3b94f6684d
+B+: 0x7f3b94f6687e 0x7f3b94f6688e
+B+: 0x7f3b94f6688f 0x7f3b94f668a0
+B+: 0x7f3b94f668a1 0x7f3b94f668ad
+B+: 0x7f3b94f66c10 0x7f3b94f66c30
+B+: 0x7f3b94f66c31 0x7f3b94f66c58
+B+: 0x7f3b94f66c5e 0x7f3b94f66c66
+B+: 0x7f3b94f66c67 0x7f3b94f66c6f
+B+: 0x7f3b94f66c78 0x7f3b94f66c87
+B+: 0x7f3b94f66c88 0x7f3b94f66c89
+B+: 0x7f3b94f66ca0 0x7f3b94f66caf
